turma,idade,gen,cien1,cien2,cien3,cien4,geog1,geog2,geog3,geog4,hist1,hist2,hist3,hist4,reli1,reli2,reli3,reli4,arte1,arte2,arte3,arte4,edfi1,edfi2,edfi3,edfi4,ingl1,ingl2,ingl3,ingl4,port1,port2,port3,port4,mate1,mate2,mate3,mate4
2022,16,0,7.5,8.0,7.0,8.5,7.0,8.0,7.0,7.0,7.0,6.5,6.3,8.0,7.0,7.5,7.5,7.5,6.5,6.5,6.0,8.0,7.5,6.3,6.7,8.5,6.5,7.0,6.5,6.0,6.5,6.0,6.5,6.0,6.0,6.5,6.0,7.0
2022,14,1,8.5,8.5,8.5,9.0,8.0,8.0,8.0,8.0,7.0,7.5,8.3,7.3,9.5,9.0,8.0,9.0,7.5,7.0,7.7,7.3,8.5,7.7,9.3,9.0,7.0,7.5,6.5,7.0,6.0,6.0,6.0,6.5,8.0,8.0,8.0,7.0
2022,15,1,9.5,10.0,9.5,10.0,10.0,10.0,10.0,10.0,9.0,9.5,10.0,10.0,10.0,10.0,10.0,10.0,8.5,10.0,9.8,10.0,9.5,10.0,10.0,10.0,8.0,8.5,9.5,10.0,9.5,9.5,10.0,10.0,10.0,10.0,10.0,10.0
2022,14,0,7.5,8.5,8.0,9.0,6.0,8.0,8.0,7.0,6.5,7.5,6.8,7.0,7.5,7.5,7.5,8.0,6.5,6.5,6.0,7.0,8.5,6.7,7.7,8.5,6.0,7.0,7.0,7.0,6.0,6.0,6.5,6.0,6.0,7.5,6.5,6.0
2022,15,1,9.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.5,9.5,10.0,10.0,10.0,10.0,10.0,10.0,9.5,10.0,10.0,10.0,9.0,10.0,10.0,10.0,8.0,8.5,7.5,10.0,9.5,10.0,10.0,10.0,10.0,10.0,9.5,10.0
2022,15,1,9.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.5,9.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.5,10.0,10.0,10.0,8.0,9.0,9.5,10.0,10.0,10.0,10.0,10.0,9.5,10.0,9.5,10.0
2022,15,1,7.5,8.5,8.5,9.0,7.0,7.0,9.0,8.0,8.0,7.5,7.2,6.7,7.5,8.5,8.5,8.0,7.5,8.0,9.3,6.7,8.0,7.0,8.0,9.0,7.0,8.0,7.5,9.3,6.0,6.0,6.5,6.0,7.0,7.0,6.0,6.0
2022,14,1,9.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.5,9.5,9.7,10.0,10.0,10.0,10.0,10.0,9.5,9.5,9.2,10.0,8.5,10.0,9.7,10.0,8.0,9.5,9.0,9.7,8.5,10.0,10.0,10.0,9.5,9.5,9.0,10.0
2022,15,1,8.5,9.5,8.0,9.0,7.0,8.0,8.0,8.0,7.0,7.5,7.0,7.0,9.0,9.0,8.5,8.5,8.0,8.0,7.3,7.0,9.0,8.0,8.0,9.0,8.0,8.5,8.0,10.0,8.0,7.5,7.0,7.0,7.5,7.5,8.0,7.0
2022,14,1,9.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.7,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.5,10.0,10.0,10.0,8.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
2022,14,1,6.0,7.0,6.5,7.5,6.0,7.0,8.0,7.0,6.0,6.0,6.0,7.7,6.0,7.5,7.5,6.5,6.5,6.5,6.0,7.7,8.0,8.0,7.7,7.5,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.5,7.5,6.0,6.0,6.0
2022,15,1,9.0,9.5,9.5,9.5,9.0,8.0,8.0,9.0,8.0,8.5,8.2,8.0,9.5,9.5,9.5,10.0,7.0,8.5,7.2,8.7,9.0,8.3,8.7,9.5,7.0,8.5,8.0,10.0,7.0,8.5,7.5,8.5,7.5,8.0,8.0,8.0
2022,14,0,7.5,9.0,8.5,9.5,8.0,8.0,10.0,8.0,6.5,7.0,6.0,6.7,7.5,8.0,8.0,8.0,6.0,7.5,6.0,6.0,9.0,6.7,7.3,9.0,7.0,7.0,8.0,9.7,6.0,6.0,6.5,6.0,6.5,7.5,7.0,7.0
2022,15,0,9.0,10.0,10.0,10.0,8.0,8.0,10.0,9.0,8.5,9.5,9.0,10.0,8.5,9.0,9.5,9.5,8.0,10.0,9.7,9.3,9.5,9.0,9.0,9.5,7.0,9.0,10.0,10.0,7.0,7.5,8.0,7.5,7.5,9.0,8.0,9.0
2022,15,1,9.5,9.5,10.0,9.5,10.0,10.0,10.0,10.0,9.5,9.5,9.3,10.0,10.0,10.0,10.0,10.0,9.5,10.0,9.3,10.0,9.5,10.0,9.3,10.0,8.0,9.0,8.0,10.0,10.0,10.0,10.0,10.0,9.5,10.0,9.0,10.0
2022,14,0,9.5,9.5,10.0,10.0,10.0,10.0,10.0,10.0,9.5,9.5,10.0,10.0,10.0,10.0,10.0,10.0,8.5,10.0,9.2,10.0,9.5,10.0,10.0,10.0,8.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,9.5,10.0,9.5,10.0
2022,15,0,6.5,7.5,6.0,6.0,6.0,6.0,8.0,7.0,6.5,6.5,6.0,6.0,6.0,6.0,6.0,6.5,6.5,6.5,6.3,6.0,7.0,6.0,6.0,7.0,6.5,6.5,6.0,6.0,6.5,6.0,6.0,6.0,6.5,6.5,6.0,6.0
2022,14,0,9.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.5,8.5,9.7,10.0,9.5,10.0,9.5,10.0,9.5,9.5,8.2,10.0,9.0,9.3,9.0,9.5,8.0,8.5,9.5,9.7,8.0,8.0,9.5,9.5,9.0,9.5,9.0,8.5
2022,15,0,8.5,9.5,10.0,9.5,7.0,8.0,9.0,10.0,6.5,7.0,8.8,9.3,7.5,8.0,8.0,8.5,6.5,7.5,8.0,8.7,7.5,6.0,7.0,9.0,6.0,7.5,8.5,10.0,6.0,6.5,6.5,6.5,6.5,8.5,8.0,7.0
2022,16,0,7.5,8.0,8.5,8.5,8.0,8.0,8.0,8.0,8.5,7.5,8.2,7.3,7.5,8.5,8.5,8.5,8.5,8.5,6.3,7.3,8.5,8.0,7.3,9.0,7.0,8.0,7.5,8.7,7.0,7.0,6.5,6.0,9.0,7.5,8.0,9.0
2022,16,1,7.5,8.5,8.5,9.0,7.0,8.0,8.0,8.0,6.5,7.5,6.0,6.7,7.5,7.5,8.0,8.0,6.0,7.5,6.0,6.0,7.5,7.0,8.0,8.5,7.0,7.0,8.0,9.7,6.0,6.5,7.5,6.5,6.5,8.0,8.0,7.0
2022,15,0,8.5,10.0,10.0,10.0,6.0,9.0,10.0,9.0,8.0,8.5,8.8,10.0,8.5,9.0,9.0,9.5,8.5,8.0,7.7,10.0,9.5,8.7,9.3,10.0,7.0,8.5,9.5,10.0,7.5,6.5,7.5,10.0,9.0,9.5,9.0,10.0
2022,15,0,7.5,8.0,6.5,8.5,7.0,8.0,8.0,8.0,6.5,6.5,8.0,7.7,7.5,8.0,7.5,8.0,6.5,6.5,6.2,7.7,8.0,7.0,7.3,8.5,6.0,7.0,7.0,9.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0
2022,15,0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,8.5,10.0,10.0,9.5,9.5,9.5,10.0,8.5,8.5,9.7,10.0,10.0,10.0,9.3,10.0,8.0,9.0,9.5,10.0,8.0,7.5,8.5,9.0,10.0,9.5,10.0,10.0
2022,15,0,9.5,9.5,10.0,10.0,10.0,10.0,10.0,10.0,9.5,8.0,10.0,10.0,10.0,10.0,9.5,10.0,9.0,9.0,9.0,10.0,9.5,9.7,9.7,10.0,8.0,9.0,9.5,10.0,10.0,10.0,10.0,10.0,9.5,9.5,10.0,10.0
2021,15,1,6.0,7.0,6.0,8.7,6.0,6.5,7.0,8.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,8.0,6.0,6.0,6.0,7.0,6.0,6.0,7.0,8.0,8.0,6.0,8.0,8.0,6.0,6.0,6.0,7.5,6.0,6.0,6.0,8.3
2021,14,0,6.0,7.0,6.0,4.3,7.0,6.0,6.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.7
2021,15,0,8.5,10.0,9.5,9.7,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,8.0,9.5,9.5,10.0,9.5,10.0
2021,15,1,6.0,6.0,6.0,6.0,8.0,6.0,6.0,7.0,8.0,6.0,6.0,6.0,7.0,6.0,6.0,7.0,8.0,6.0,6.0,7.0,8.5,6.0,10.0,6.0,10.0,7.0,10.0,7.0,6.0,6.0,6.0,6.0,6.0,8.0,6.0,6.3
2021,14,1,9.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,8.0,10.0,10.0,10.0,10.0,10.0,9.0,8.0,8.0,9.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,9.0,7.5,10.0,8.0,10.0,9.5,9.0
2021,15,0,8.5,10.0,9.0,10.0,10.0,10.0,10.0,10.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,9.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,10.0,9.0,10.0,10.0,10.0
2021,16,1,6.5,6.0,6.0,9.3,6.0,6.5,7.0,7.5,7.0,6.0,6.0,7.0,6.0,6.0,6.0,8.5,7.0,6.0,6.0,7.0,6.0,6.0,6.0,8.0,6.0,6.0,6.0,8.0,6.0,6.0,6.0,6.5,6.0,6.0,6.0,8.0
2021,15,0,9.0,10.0,9.5,10.0,10.0,10.0,10.0,10.0,10.0,8.0,10.0,8.5,9.0,10.0,10.0,10.0,9.0,9.0,8.0,8.5,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,9.0,10.0,8.0,10.0,8.5,10.0,9.5,9.5
2021,16,0,6.0,6.0,6.5,5.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.5
2021,14,0,6.5,8.5,7.5,9.7,8.0,10.0,8.0,8.0,7.0,6.0,8.0,8.5,8.5,9.0,9.0,9.0,7.0,9.0,7.0,8.5,9.0,10.0,10.0,8.0,9.0,10.0,10.0,10.0,9.0,7.5,6.0,7.0,7.0,9.0,7.5,8.5
2021,14,0,6.0,6.0,6.0,3.0,6.0,6.0,8.0,8.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.5,6.0,6.0,6.0,6.0,7.0,6.0,6.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.5,6.0,5.5
2021,15,1,8.5,10.0,8.5,9.7,10.0,10.0,10.0,10.0,9.0,9.0,8.0,10.0,10.0,10.0,9.0,10.0,8.0,9.0,7.0,10.0,7.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,8.5,7.5,10.0,9.0,10.0,8.5,9.8
2021,15,0,6.0,6.5,6.0,2.7,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.5,3.0,6.0,6.0,6.0,2.0
2021,15,0,6.0,6.0,6.0,4.3,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.5,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.5,6.0,6.0,6.0,6.5,6.0,4.0
2021,15,0,6.0,6.5,6.0,4.3,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.5,6.0,6.0,7.0,6.0,6.5,6.0,6.0,6.0,6.5,6.0,3.3
2021,16,0,6.5,6.0,6.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.5,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.5,6.0,4.5
2021,14,1,9.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,9.0,10.0,10.0,10.0,10.0,9.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,9.5,10.0,10.0,10.0
2021,15,1,9.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,9.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,8.5,10.0,9.5,10.0,9.0,9.7
2021,15,1,9.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,8.0,10.0,10.0,9.0,10.0,10.0,8.0,10.0,10.0,10.0,10.0,10.0,8.0,8.5,9.5,9.5,9.5,9.0,9.8
2021,15,0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0
2021,15,0,6.0,6.0,6.0,7.3,6.0,6.0,7.0,10.0,6.0,6.0,6.0,6.5,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.5,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.2
2021,15,0,6.0,8.5,8.5,10.0,8.5,9.0,8.0,10.0,8.0,8.0,7.0,10.0,8.5,8.5,9.0,9.5,7.0,8.5,7.0,10.0,9.0,6.0,6.0,10.0,8.0,6.0,7.0,6.0,7.0,7.5,6.0,8.0,6.0,7.5,7.5,9.7
2021,15,0,6.0,6.0,6.0,5.7,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.5,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.7
2021,14,1,9.0,10.0,9.5,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0
2021,16,0,6.5,6.0,6.0,3.7,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.5,6.0,7.0,5.5,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.5,6.0,3.0
2021,15,1,9.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,9.0,10.0,10.0,10.0,10.0,10.0,9.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,7.5,9.0,9.0,10.0,9.0,9.5
2021,14,1,6.0,8.0,6.0,9.3,9.0,8.0,9.0,9.0,7.0,6.0,7.0,7.0,9.5,8.5,8.0,8.0,7.0,8.0,6.0,7.0,6.5,6.0,6.0,8.0,7.0,6.0,6.0,9.0,7.0,7.0,6.0,7.0,6.0,6.5,6.0,7.7
2021,15,1,6.0,6.0,6.0,8.7,8.0,6.0,7.0,8.0,6.0,6.0,6.0,8.0,6.5,6.0,6.0,7.0,6.0,6.0,6.0,8.0,8.5,6.0,6.0,6.0,9.0,6.0,6.0,8.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.2
2021,15,0,6.5,6.0,6.5,5.7,6.0,6.0,7.0,8.0,6.0,6.0,6.0,6.0,6.5,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,8.0,6.0,6.0,6.0,6.0,6.5,6.0,6.0,5.0
2021,14,1,6.0,9.0,8.5,10.0,7.0,6.5,9.0,8.0,7.0,10.0,10.0,8.0,8.5,9.0,8.5,9.5,8.0,8.0,9.0,8.0,9.0,9.0,10.0,8.0,9.0,7.0,10.0,8.0,7.0,7.0,6.0,8.0,6.5,9.0,8.5,8.5
2021,15,1,8.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,9.0,8.0,10.0,8.5,10.0,9.5,10.0
2021,15,1,7.0,6.0,6.5,9.3,6.0,7.0,7.0,8.0,7.0,6.0,6.0,9.0,7.5,6.5,6.0,8.0,7.0,7.0,7.0,9.0,8.0,8.0,6.0,8.0,9.0,8.5,6.0,8.0,7.0,6.0,6.0,7.5,6.5,6.0,6.0,8.0
2020,15,0,7.0,6.0,6.0,9.0,7.0,7.5,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,7.5,8.0,6.0,9.0,6.0,9.5,7.0,7.5,6.0,8.0,8.0,8.0,6.0,6.0,8.0,8.0,6.0,6.0,6.0,8.0,7.5,7.5
2020,15,0,6.0,6.0,8.0,6.0,7.0,7.0,7.0,6.0,7.0,6.0,7.0,6.0,7.0,7.0,7.0,6.0,7.0,6.0,6.0,6.0,8.0,9.0,6.0,6.0,5.0,6.0,7.0,6.0,7.0,7.0,7.0,6.0,8.0,8.0,1.0,6.0
2020,15,1,8.0,8.5,9.5,9.0,9.0,9.0,8.0,8.0,8.0,9.0,8.5,9.0,9.0,9.0,9.0,9.0,9.5,10.0,9.5,10.0,8.0,8.0,10.0,9.5,8.0,8.0,7.0,9.0,7.0,7.0,8.0,9.0,7.0,9.0,8.5,7.5
2020,14,1,10.0,10.0,9.5,9.0,9.5,9.5,9.0,10.0,9.0,9.5,9.0,10.0,10.0,9.0,9.0,10.0,9.5,9.0,8.5,10.0,10.0,10.0,10.0,9.5,9.0,9.0,10.0,10.0,8.0,9.0,9.5,10.0,8.0,9.5,9.0,8.5
2020,16,1,9.0,9.5,9.5,9.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,8.0,9.5,10.0,9.0,9.0,8.0,9.0,9.0,9.0,8.0,8.0,7.5,9.0,9.0,8.0,8.0,8.0,8.0,9.0,9.0,7.0
2020,17,0,8.0,7.5,8.1,7.5,8.5,8.5,8.0,8.0,8.0,9.0,8.0,8.0,8.0,9.0,8.0,8.0,9.5,10.0,10.0,10.0,9.0,8.5,6.0,8.0,8.0,7.0,6.0,6.0,8.0,9.0,6.0,7.0,7.5,9.5,6.0,6.5
2020,15,1,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,9.5,10.0,10.0,10.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.7,9.0,9.0,6.0,10.0,10.0,9.0,6.0,9.5,10.0,9.0,10.0,9.5,9.5
2020,15,1,8.0,6.5,6.0,6.0,7.0,7.5,7.0,7.0,7.0,7.0,6.5,6.0,8.0,8.0,7.0,6.0,9.5,10.0,9.5,10.0,7.0,6.5,6.0,6.0,7.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,8.0,6.0,6.0,6.0
2020,15,1,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,8.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,8.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2020,16,0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,7.5,6.0,6.0,6.0,9.5,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,8.0,6.0,6.0,6.0,8.0,6.0,6.0,6.0,6.0,6.0,6.0
2020,15,0,9.0,9.0,9.0,8.0,7.5,8.5,8.0,8.0,8.0,8.5,8.0,7.0,8.0,8.0,8.0,7.0,9.0,10.0,9.5,10.0,8.0,9.5,6.0,8.0,8.0,8.0,6.0,8.0,8.0,8.0,6.0,8.0,7.5,9.5,8.5,5.5
2020,15,0,9.0,8.5,8.0,9.0,8.0,7.0,8.0,7.0,8.0,8.5,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.5,7.5,8.5,9.0,8.5,6.0,7.0,8.0,8.0,6.0,7.0,8.0,8.0,6.0,8.0,8.5,9.0,8.0,7.5
2020,15,0,8.0,6.5,7.5,8.0,7.0,7.5,8.0,7.5,7.5,8.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,10.0,9.5,10.0,8.0,8.5,6.0,7.5,8.0,8.0,6.0,7.0,8.0,8.0,6.0,7.0,8.0,8.0,7.0,7.0
2020,15,0,9.0,9.5,9.2,9.0,7.0,8.0,8.0,8.0,7.5,8.5,8.0,9.0,8.5,8.0,9.0,8.0,8.5,9.5,9.0,10.0,8.0,9.5,9.0,9.0,8.0,6.0,6.0,10.0,8.0,8.0,7.5,10.0,9.0,8.5,8.5,8.0
2020,15,0,8.0,9.5,9.5,10.0,8.0,8.0,8.0,8.0,8.0,8.5,8.5,6.0,8.0,8.5,8.5,6.0,8.5,9.0,7.5,9.0,9.0,10.0,8.0,9.5,8.0,8.0,6.0,9.0,8.0,6.0,6.0,9.0,8.0,9.5,8.5,9.0
2020,14,0,8.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,9.5,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,8.0,6.0,6.0,7.0,8.0,6.0,6.0,6.0,6.0,6.0,6.0
2020,15,1,10.0,9.5,10.0,10.0,9.0,9.0,7.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,9.5,9.0,10.0,8.0,7.0,8.0,10.0,8.0,8.0,8.0,9.0,9.0,10.0,9.5,9.0
2020,15,1,9.0,9.0,10.0,10.0,8.0,9.0,7.0,8.0,9.0,9.0,9.0,10.0,9.0,7.0,9.0,10.0,9.5,10.0,10.0,10.0,8.0,9.0,9.0,8.0,8.0,7.0,7.5,10.0,8.0,7.0,7.5,9.0,8.0,10.0,9.5,9.0
2020,14,1,8.0,7.5,6.5,7.0,8.0,8.0,7.0,7.5,8.0,7.0,7.5,8.0,8.5,7.0,8.0,8.0,8.0,9.0,9.5,10.0,8.5,8.5,6.0,8.0,7.0,6.0,6.0,6.0,8.0,6.0,6.0,6.0,8.0,8.5,6.0,7.0
